GUID,学科,版本,年级,书本册,单元序号,单元名称,在单元内的序号,课文标题,朝代,作者,课文原文,内容类型,教材注释,教材问题或练习,教案,"是否是红色主题内容
（国家领导、抗日英雄等）"
,语文,部编版,一年级,下册,4,第四单元,5,第四单元-单元例句,/,/,\n\n剥开粽叶，咬一口粽子，真是又黏又甜。\n\n天一黑就不敢往外瞧。,单元例句,/,/,【目标】掌握“又…又…”“一…就…”句式。【过程】1.出示粽子图，问口感引“又黏又甜”。2.精讲“一…就…”表条件触发，对比仿说。3.用句式描述日常物品/心情。4.小结积累生动表达。,否
,语文,部编版,一年级,下册,4,第四单元,6,语文园地四-日积月累-成语,/,/,\n\n尊老爱幼    其乐融融 \n\n血浓于水   手足情深 \n\n同心协力    同甘共苦 \n\n天伦之乐    欢聚一堂,语文园地,/,/,【目标】理解亲情类成语，涵养家庭美德。【过程】1.全家福图片导入。2.拆解“其乐融融”等词义，结合生活举例。3.情境选词填空。4.齐读背诵，倡导孝亲敬老。,否
,语文,部编版,一年级,下册,5,第五单元,6,语文园地五-日积月累-歇后语,/,/,\n\n芝麻开花 —— 节节高 \n\n竹篮打水 —— 一场空 \n\n十五个吊桶打水 —— 七上八下,语文园地,/,/,【目标】认识歇后语结构，体会民间智慧。【过程】1.猜谜游戏导入。2.析“前半比喻+后半释义”规律，重点讲“七上八下”表心理。3.看图猜歇后语。4.小结俗语趣味性。,否
,语文,部编版,一年级,下册,6,第六单元,7,第六单元-单元例句,/,/,他一边跑一边喊：“妈妈，妈妈，要下雨了！”,单元例句,/,/,【目标】掌握“一边…一边…”表同时动作。【过程】1.动作演示导入。2.精讲关联词连接两个并行活动，体会画面感。3.做动作仿说句子。4.小结句式让叙述更连贯。,否
,语文,部编版,一年级,下册,6,第六单元,8,语文园地六-日积月累-谚语,/,/,\n\n朝霞不出门，\n\n晚霞行千里。\n\n有雨山戴帽，\n\n无雨半山腰。\n\n早晨下雨当日晴，\n\n晚上下雨到天明。\n\n蚂蚁搬家蛇过道，\n\n大雨不久要来到。,语文园地,/,/,【目标】积累气象谚语，了解自然规律。【过程】1.问天气变化导入。2.逐句释义，点明“朝霞/晚霞/蚂蚁”与天气关联。3.图文匹配练习。4.小结观云识天智慧。,否
,语文,部编版,一年级,下册,7,第七单元,6,第七单元-单元例句,/,/,贝贝一回到家，就向妈妈要新的铅笔、新的橡皮。\n\n他叹了口气，说：“要是早一分钟就好了。”,单元例句,/,/,【目标】掌握“一…就…”“要是…就…”句式。【过程】1.情境朗读。2.对比两例句：前者表习惯/必然，后者表假设/后悔。3.创设情境仿写。4.小结关联词精准达意。,否
,语文,部编版,一年级,下册,7,第七单元,7,语文园地七-日积月累-名言警句,/,/,\n\n不知则问，不能则学。——《荀子》\n\n一日无书，百事荒芜。—— 陈寿\n\n读万卷书，行万里路。—— 董其昌,语文园地,/,/,【目标】理解勤学名言，激发读书兴趣。【过程】1.问“为什么读书”导入。2.逐句串讲，联系“学贵有疑”“知行合一”。3.制作书签写名言。4.小结以书为友。,否
,语文,部编版,二年级,下册,2,第二单元,6,第二单元-单元例句,/,/,”\n\n“要是你谁也保护不了，那你就是最弱小的。”\n\n与其锦上添花，不如雪中送炭。\n\n故事里的儿童，有的顽皮、可爱，有的懂事、善良；有的过着平淡温馨的生活，有的会有意想不到的奇遇……,单元例句,/,/,【目标】理解“弱小/雪中送炭”，感知儿童形象。【过程】1.分角色朗读。2.解析谚语对比，体会“雪中送炭”可贵。3.结合课文简述儿童特点。4.小结品读人物品质。,否
,语文,部编版,二年级,下册,2,第二单元,7,语文园地二-日积月累-谚语,/,/,\n\n予人玫瑰，手有余香。 \n\n平时肯帮人，急时有人帮。\n\n与其锦上添花，不如雪中送炭。,语文园地,/,/,【目标】积累助人谚语，培养互助品格。【过程】1.故事《盲人提灯》导入。2.精讲“余香”“急时”“不如”深层义。3.讨论班级互助实例。4.齐诵践行。,否
,语文,部编版,二年级,下册,3,第三单元,6,语文园地三-日积月累-十二生肖,/,/,"\n\n子鼠；丑牛；寅虎；卯兔
\n\n辰龙；巳蛇；午马；未羊
\n\n申猴；酉鸡；戌狗；亥猪",语文园地,/,/,【目标】识记十二生肖与地支对应。【过程】1.唱童谣导入。2.图文配对讲解“子鼠丑牛”顺序规律。3.快速接龙游戏。4.小结传统文化传承。,否
,语文,部编版,二年级,下册,4,第四单元,6,第四单元-单元例句,/,/,\n\n我有一大把彩色的梦，有的长，有的圆，有的硬。\n\n我看见喜鹊阿姨站在窝边，一会儿教喜鹊弟弟唱歌，一会儿教他们做游戏，一会儿教他们学自己发明的拼音字母……,单元例句,/,/,【目标】掌握“有的…有的…”“一会儿…一会儿…”排比句式。【过程】1.展示彩梦图。2.析句式表列举与连续动作，体会童趣。3.仿写“课间活动”。4.小结句式丰富表达。,否
,语文,部编版,二年级,下册,4,第四单元,7,语文园地四-日积月累-名言警句,/,/,\n\n失信不立。——《左传》\n\n诚信者，天下之结也。——《管子》\n\n小信成则大信立。——《韩非子》,语文园地,/,/,【目标】理解诚信名言，树立守信意识。【过程】1.讲《曾子杀猪》导入。2.串讲《左传》《管子》《韩非子》核心义。3.辨析生活失信行为。4.小结“无信不立”。,否
,语文,部编版,二年级,下册,5,第五单元,6,第五单元-单元例句,/,/,\n\n他回到家里，一边大口喘气一边说：“今天可把我累坏了！”\n\n原来河水既不像老牛说的那样浅，也不像松鼠说的那样深。,单元例句,/,/,【目标】掌握“一边…一边…”“既…也…”句式。【过程】1.情境体验“累”。2.精讲关联词表并列与转折判断（结合《小马过河》）。3.用句式描述实验现象。4.小结逻辑表达。,否
,语文,部编版,二年级,下册,5,第五单元,7,语文园地五-日积月累-弟子规（节选）,/,/,\n\n冠必正，纽必结，袜与履，俱紧切。置冠服，有定位，勿乱顿，致污秽。\n\n唯德学，唯才艺，不如人，当自砺。若衣服，若饮食，不如人，勿生戚。,语文园地,/,/,【目标】理解行为规范，养成良好习惯。【过程】1.正衣冠导入。2.逐句译解“冠服定位”“德学自砺”，对比古今。3.情景判断对错。4.小结知行合一。,否
,语文,部编版,二年级,下册,6,第六单元,9,第六单元-单元例句,/,/,\n\n闪电越来越亮，雷声越来越响。\n\n要是你能认出它，就不会在黑夜里乱闯。\n\n因为水处于失重状态，即使把杯子倒过来，水也不会往下流。,单元例句,/,/,【目标】掌握“越来越…”“要是…就…”“即使…也…”。【过程】1.模拟雷雨场景。2.析程度加深、条件假设、让步关系。3.看自然现象造句。4.小结关联词层次。,否
,语文,部编版,二年级,下册,7,第七单元,8,第七单元-单元例句,/,/,\n\n有虫子来的话，大象只要把他的大耳朵一扇，就能把他们赶跑。\n\n既不会唱，也不会跑，更不会飞。,单元例句,/,/,【目标】掌握“只要…就…”“既…也…更…”递进句式。【过程】1.模仿动物动作导入。2.析条件与能力递进关系，体会否定式强调。3.描述动物特长。4.小结句式逻辑。,否
,语文,部编版,二年级,下册,8,第八单元,6,第八单元-单元例句,/,/,\n\n李时珍不但注意积累为人治病的经验，还坚持到各地去采药。\n\n运东西也只能依靠人力，既不方便，又很辛苦。,单元例句,/,/,【目标】学习“不但…还…”“既…又…”句式，体会人物精神。【过程】1.出示李时珍采药图。2.精讲关联词表递进与并列，突出辛苦。3.仿写科学家事迹。4.小结严谨治学。,否
,语文,部编版,三年级,下册,1,第一单元,8,第一单元-单元例句,/,/,有的瓢虫吃蚜虫，是益虫；有的瓢虫吃马铃薯嫩叶，是害虫。,单元例句,/,/,【目标】掌握“有的……；有的……”分类说明句式。【过程】1.出示瓢虫图片。2.析“分号”用法与益害分类逻辑。3.给其他昆虫分类造句。4.小结说明文严谨性。,否
,语文,部编版,三年级,下册,2,第二单元,9,第二单元-单元例句,/,/,\n\n他的马越好，车夫的本领越大，盘缠带得越多，走得越远，就越到不了楚国。\n\n狼装出一副又老实又可怜的模样……\n\n只要伸下一条腿来，我就得救了。,单元例句,/,/,【目标】理解寓言寓意，掌握神态描写与条件句。【过程】1.猜寓言导入。2.析“又老实又可怜”反衬手法，“只要…就…”表唯一条件。3.角色扮演读句。4.小结寓言讽刺性。,否
,语文,部编版,三年级,下册,2,第二单元,10,语文园地二-日积月累-成语,/,/,\n\n掩耳盗铃    杞人忧天    邯郸学步\n\n自相矛盾    刻舟求剑    滥竽充数\n\n井底之蛙    杯弓蛇影    画蛇添足,语文园地,/,/,【目标】积累寓言成语，理解深层寓意。【过程】1.看图猜成语。2.精讲“自相矛盾”“刻舟求剑”故事内核。3.情境匹配适用场景。4.小结借古讽今智慧。,否
,语文,部编版,三年级,下册,3,第三单元,5,第三单元-单元例句,/,/,\n\n尽管它们逆风而飞，沿途都是一些陌生的景物，但它们真的飞回来了。\n\n石蜂确实靠的不是记忆力，而是一种我无法解释的特殊的能力。,单元例句,/,/,【目标】掌握“尽管…但…”转折句，体会科学精神。【过程】1.问蜜蜂如何回家导入。2.析“陌生景物”与“飞回”对比，悟“特殊能力”指方向感。3.仿写观察记录。4.小结质疑求证。,否
,语文,部编版,三年级,下册,4,第四单元,7,第四单元-单元例句,/,/,\n\n这种设计……既减轻了流水对桥身的冲击力……又减轻了桥身的重量……\n\n这座桥不但坚固，而且美观。\n\n有的刻着两条相互缠绕的龙……有的刻着两条飞龙……还有的刻着双龙戏珠。,单元例句,/,/,【目标】掌握并列、递进、排比句式。【过程】1.出示赵州桥图。2.析关联词与排比在说明文中的作用。3.仿写介绍校园建筑。4.小结结构严谨。,否
,语文,部编版,三年级,下册,5,第五单元,6,第五单元-单元例句,/,/,\n\n只要看看胡萝卜先生走了多长的路，就可以知道他的这根胡子已经长了多长了。\n\n如果你害怕不小心把眼镜摔了，就在眼镜腿上系一根绳子……,单元例句,/,/,【目标】掌握“只要…就…”“如果…就…”条件假设句。【过程】1.展示长胡子图。2.析假设与条件的逻辑关联，体会童话夸张。3.创编生活小妙招句子。4.小结想象合理性。,否
,语文,部编版,三年级,下册,6,第六单元,6,第六单元-单元例句,/,/,\n\n是那么圆满，那么自由，那么透明，那么美丽。\n\n如果我忘记了这件事……但我已经想起来了，就不能失信了！,单元例句,/,/,【目标】掌握“那么…那么…”排比与“如果…就…”假设。【过程】1.吹肥皂泡体验导入。2.析排比强化美感，转折突出诚信底线。3.用句式描写自然景物。4.小结抒情与说理结合。,否
,语文,部编版,三年级,下册,6,第六单元,7,语文园地六-日积月累-名言警句,/,/,"\n\n见善则迁，有过则改。
——《周易》\n\n过而不改，是谓过矣。——《论语》\n\n

人谁无过？过而能改，善莫大焉。
——《左传》",语文园地,/,/,【目标】理解改过自新名言，培养自省习惯。【过程】1.讲《负荆请罪》导入。2.串讲《周易》《论语》《左传》核心：知错能改。3.写“自省小卡片”。4.小结善莫大焉。,否
,语文,部编版,三年级,下册,7,第七单元,5,第七单元-单元例句,/,/,\n\n这地方的火烧云变化极多，一会儿红彤彤的，一会儿金灿灿的，一会儿半紫半黄，一会儿半灰半百合色。\n\n只要我们仔细地观察、寻找，就能从极普通的事物中找到美……,单元例句,/,/,【目标】积累色彩词，掌握“一会儿…一会儿…”与观察方法。【过程】1.观火烧云图片。2.析颜色词组合规律，提炼“仔细观察找美”。3.仿写日出云霞变化。4.小结留心生活。,否
